DiveNumber,StartDateTime_UTC,StartLatitude,StartLongitude,EndDateTime_UTC,EndLatitude,EndLongitude
1,14-Sep-2024 18:14:31,44.555795,-124.74956,14-Sep-2024 18:40:31,44.5520833333333,-124.749516666667
2,14-Sep-2024 19:28:47,44.54248,-124.752995,14-Sep-2024 19:56:09,44.5391333333333,-124.75615
3,14-Sep-2024 20:00:12,44.538355,-124.756575,14-Sep-2024 20:27:58,44.5358333333333,-124.761133333333
4,14-Sep-2024 20:36:49,44.5338383333333,-124.761376666667,14-Sep-2024 21:19:53,44.5326,-124.76965
5,14-Sep-2024 21:38:25,44.52885,-124.772818333333,14-Sep-2024 22:31:01,44.5316166666667,-124.780483333333
6,14-Sep-2024 22:37:18,44.5307616666667,-124.781608333333,14-Sep-2024 23:57:17,44.53575,-124.790033333333
7,15-Sep-2024 00:02:16,44.535335,-124.79025,15-Sep-2024 01:21:01,44.5406666666667,-124.798666666667
8,15-Sep-2024 01:26:04,44.540055,-124.799023333333,15-Sep-2024 03:03:55,44.5396,-124.814683333333
9,15-Sep-2024 03:08:28,44.5389,-124.814843333333,15-Sep-2024 04:46:20,44.5413166666667,-124.830283333333
10,15-Sep-2024 04:50:56,44.5404616666667,-124.830355,15-Sep-2024 06:28:49,44.5395833333333,-124.845733333333
11,15-Sep-2024 06:33:14,44.5385166666667,-124.845605,15-Sep-2024 07:54:31,44.5358833333333,-124.860883333333
12,15-Sep-2024 07:59:00,44.534985,-124.860871666667,15-Sep-2024 09:20:01,44.53425,-124.87705
13,15-Sep-2024 09:24:16,44.5333666666667,-124.877588333333,15-Sep-2024 10:45:01,44.5329,-124.89445
14,15-Sep-2024 10:49:59,44.5321133333333,-124.894743333333,15-Sep-2024 12:36:01,44.52785,-124.91635
15,15-Sep-2024 12:40:55,44.5273033333333,-124.917008333333,15-Sep-2024 14:30:01,44.5248833333333,-124.934216666667
16,15-Sep-2024 14:34:38,44.524675,-124.934033333333,15-Sep-2024 17:36:25,44.5153166666667,-124.956266666667
17,15-Sep-2024 17:42:09,44.5149083333333,-124.95612,15-Sep-2024 20:43:06,44.5039166666667,-124.982766666667
18,15-Sep-2024 20:48:40,44.5035233333333,-124.983838333333,16-Sep-2024 00:31:15,44.4858833333333,-125.019533333333
19,16-Sep-2024 00:38:55,44.48536,-125.019385,16-Sep-2024 04:18:08,44.4785,-125.050383333333
20,16-Sep-2024 04:26:19,44.477335,-125.050683333333,16-Sep-2024 08:51:12,44.4672,-125.09015
21,16-Sep-2024 08:58:05,44.4670166666667,-125.091341666667,16-Sep-2024 13:27:08,44.4469666666667,-125.139533333333
22,16-Sep-2024 13:34:01,44.4472416666667,-125.13903,16-Sep-2024 18:02:11,44.4415833333333,-125.1802
23,16-Sep-2024 18:08:52,44.4417316666667,-125.179785,16-Sep-2024 22:27:04,44.42255,-125.227733333333
24,16-Sep-2024 22:33:10,44.4222566666667,-125.228011666667,17-Sep-2024 02:47:29,44.4057833333333,-125.271616666667
25,17-Sep-2024 02:54:02,44.4057216666667,-125.271711666667,17-Sep-2024 07:12:22,44.3977666666667,-125.312983333333
26,17-Sep-2024 07:19:06,44.3979166666667,-125.312353333333,17-Sep-2024 11:38:11,44.3929833333333,-125.357933333333
27,17-Sep-2024 11:45:23,44.3927733333333,-125.356315,17-Sep-2024 16:04:10,44.3724,-125.3917
28,17-Sep-2024 16:11:20,44.3717616666667,-125.38999,17-Sep-2024 21:41:10,44.35625,-125.433833333333
29,17-Sep-2024 21:48:30,44.3565016666667,-125.432763333333,18-Sep-2024 03:20:30,44.3239166666667,-125.46555
30,18-Sep-2024 03:28:20,44.3235916666667,-125.463281666667,18-Sep-2024 08:57:11,44.3126,-125.500033333333
31,18-Sep-2024 09:04:30,44.312435,-125.498616666667,18-Sep-2024 14:37:34,44.2928666666667,-125.5352
32,18-Sep-2024 14:44:11,44.2920566666667,-125.534065,18-Sep-2024 20:10:11,44.2874333333333,-125.56705
33,18-Sep-2024 20:17:04,44.28724,-125.567268333333,19-Sep-2024 01:47:11,44.2734166666667,-125.601083333333
34,19-Sep-2024 01:54:37,44.2723233333333,-125.599251666667,19-Sep-2024 07:31:35,44.2705,-125.626516666667
35,19-Sep-2024 07:38:53,44.2699383333333,-125.62666,19-Sep-2024 13:06:36,44.2673166666667,-125.65425
36,19-Sep-2024 13:13:48,44.2672283333333,-125.653108333333,19-Sep-2024 18:36:12,44.2681,-125.677366666667
37,19-Sep-2024 18:43:19,44.2674233333333,-125.675993333333,20-Sep-2024 00:14:11,44.27545,-125.698133333333
38,20-Sep-2024 00:21:25,44.2745033333333,-125.697575,20-Sep-2024 05:38:11,44.2643166666667,-125.722583333333
39,20-Sep-2024 05:45:31,44.26394,-125.721875,20-Sep-2024 11:11:36,44.2485833333333,-125.749066666667
40,20-Sep-2024 11:21:14,44.2478433333333,-125.747265,20-Sep-2024 16:51:11,44.2261333333333,-125.77695
41,20-Sep-2024 16:58:33,44.2252683333333,-125.775618333333,20-Sep-2024 22:47:42,44.21975,-125.805883333333
42,20-Sep-2024 22:55:09,44.2191816666667,-125.805795,21-Sep-2024 04:28:42,44.1979166666667,-125.83455
43,21-Sep-2024 04:36:12,44.197445,-125.832455,21-Sep-2024 10:10:41,44.1957,-125.857416666667
44,21-Sep-2024 10:21:28,44.1943933333333,-125.857535,21-Sep-2024 15:45:42,44.1884,-125.88135
45,21-Sep-2024 15:52:51,44.188655,-125.881086666667,21-Sep-2024 21:27:42,44.1937333333333,-125.910033333333
46,21-Sep-2024 21:35:10,44.1935716666667,-125.909196666667,22-Sep-2024 03:17:06,44.1800166666667,-125.932533333333
47,22-Sep-2024 03:24:49,44.1793383333333,-125.93221,22-Sep-2024 09:04:35,44.1838666666667,-125.953866666667
48,22-Sep-2024 09:11:31,44.18374,-125.95446,22-Sep-2024 14:50:40,44.1897333333333,-125.975666666667
49,22-Sep-2024 14:57:37,44.1903233333333,-125.97469,22-Sep-2024 20:41:31,44.2011666666667,-125.99535
50,22-Sep-2024 20:48:37,44.2007816666667,-125.99471,23-Sep-2024 02:38:25,44.2002,-126.0228
51,23-Sep-2024 02:45:03,44.2004316666667,-126.022883333333,23-Sep-2024 08:36:59,44.1928666666667,-126.046283333333
52,23-Sep-2024 08:44:25,44.193645,-126.045263333333,23-Sep-2024 14:22:05,44.1995333333333,-126.068833333333
53,23-Sep-2024 14:29:20,44.1989583333333,-126.068066666667,23-Sep-2024 20:11:03,44.1911,-126.0878
54,23-Sep-2024 20:17:48,44.1920166666667,-126.087776666667,24-Sep-2024 01:17:59,44.1900666666667,-126.1112
55,24-Sep-2024 01:25:12,44.1903,-126.110303333333,24-Sep-2024 06:17:41,44.1565166666667,-126.048116666667
56,24-Sep-2024 06:24:37,44.1555416666667,-126.048583333333,24-Sep-2024 09:48:42,44.1287,-126.00405
57,24-Sep-2024 09:55:29,44.1284183333333,-126.003988333333,24-Sep-2024 15:37:12,44.0942166666667,-125.927183333333
58,24-Sep-2024 15:44:52,44.0941566666667,-125.926628333333,24-Sep-2024 20:54:41,44.0540166666667,-125.866716666667
59,24-Sep-2024 21:01:49,44.0538,-125.86766,25-Sep-2024 02:07:30,44.0032166666667,-125.818816666667
60,25-Sep-2024 02:15:12,44.0029533333333,-125.817773333333,25-Sep-2024 07:24:01,43.94035,-125.780733333333
61,25-Sep-2024 07:31:17,43.9392666666667,-125.783155,25-Sep-2024 12:49:35,43.8991,-125.741433333333
62,25-Sep-2024 12:56:19,43.899365,-125.740495,25-Sep-2024 18:19:41,43.8665166666667,-125.708183333333
63,25-Sep-2024 18:26:38,43.8651933333333,-125.708708333333,25-Sep-2024 23:40:10,43.8419666666667,-125.66775
64,25-Sep-2024 23:46:36,43.8414233333333,-125.667675,26-Sep-2024 05:07:22,43.84155,-125.645983333333
65,26-Sep-2024 05:14:03,43.8400883333333,-125.647346666667,26-Sep-2024 10:40:11,43.8278333333333,-125.617016666667
66,26-Sep-2024 10:47:30,43.827515,-125.616585,26-Sep-2024 16:07:40,43.8332,-125.599916666667
67,26-Sep-2024 16:14:54,43.8316733333333,-125.600635,26-Sep-2024 21:43:12,43.8375833333333,-125.56765
68,26-Sep-2024 21:50:54,43.8379233333333,-125.56748,27-Sep-2024 03:10:24,43.8074166666667,-125.522233333333
69,27-Sep-2024 03:16:46,43.8065833333333,-125.52316,27-Sep-2024 08:30:49,43.7778,-125.475916666667
70,27-Sep-2024 08:37:48,43.7774,-125.476513333333,27-Sep-2024 13:55:35,43.7525333333333,-125.425316666667
71,27-Sep-2024 14:02:39,43.7502683333333,-125.426823333333,27-Sep-2024 19:26:41,43.7424,-125.377733333333
72,27-Sep-2024 19:33:55,43.7410566666667,-125.38086,28-Sep-2024 00:58:41,43.7301833333333,-125.323316666667
73,28-Sep-2024 01:06:02,43.728785,-125.324528333333,28-Sep-2024 06:18:11,43.73485,-125.27085
74,28-Sep-2024 06:24:37,43.733765,-125.272721666667,28-Sep-2024 11:47:17,43.7133166666667,-125.205983333333
75,28-Sep-2024 11:53:28,43.712875,-125.207258333333,28-Sep-2024 17:16:41,43.71965,-125.13945
76,28-Sep-2024 17:24:51,43.718945,-125.13807,28-Sep-2024 21:30:49,43.70735,-125.13105
77,28-Sep-2024 21:36:57,43.7062166666667,-125.130891666667,28-Sep-2024 22:03:06,43.7020166666667,-125.1291
78,28-Sep-2024 22:19:40,43.69882,-125.13073,29-Sep-2024 02:43:19,43.7004166666667,-125.081633333333
79,29-Sep-2024 02:49:19,43.700375,-125.082715,29-Sep-2024 07:12:11,43.6771333333333,-125.05225
80,29-Sep-2024 07:18:46,43.67662,-125.052978333333,29-Sep-2024 10:48:30,43.652,-125.03035
81,29-Sep-2024 10:54:45,43.6503666666667,-125.030826666667,29-Sep-2024 14:00:41,43.6351833333333,-124.995783333333
82,29-Sep-2024 14:10:25,43.634335,-124.996158333333,29-Sep-2024 17:36:54,43.6239,-124.955216666667
83,29-Sep-2024 17:43:05,43.6228766666667,-124.955875,29-Sep-2024 20:48:04,43.6018666666667,-124.925416666667
84,29-Sep-2024 20:53:57,43.60114,-124.925928333333,29-Sep-2024 23:42:18,43.58225,-124.89865
85,29-Sep-2024 23:48:04,43.582105,-124.897868333333,30-Sep-2024 02:47:00,43.5739166666667,-124.863266666667
86,30-Sep-2024 02:53:02,43.573975,-124.862158333333,30-Sep-2024 05:45:19,43.5673333333333,-124.83275
87,30-Sep-2024 05:51:25,43.5673583333333,-124.83252,30-Sep-2024 08:19:41,43.5559,-124.811683333333
88,30-Sep-2024 08:25:25,43.556185,-124.811963333333,30-Sep-2024 10:54:31,43.5411166666667,-124.79215
89,30-Sep-2024 11:02:00,43.5411133333333,-124.793066666667,30-Sep-2024 13:34:35,43.53015,-124.768733333333
90,30-Sep-2024 13:40:07,43.530395,-124.768456666667,30-Sep-2024 16:09:42,43.5231833333333,-124.785833333333
91,30-Sep-2024 16:15:52,43.5232666666667,-124.785465,30-Sep-2024 18:45:41,43.51515,-124.8029
92,30-Sep-2024 18:53:36,43.5145266666667,-124.80306,30-Sep-2024 21:22:43,43.50315,-124.823583333333
93,30-Sep-2024 21:28:54,43.502775,-124.824071666667,30-Sep-2024 23:57:30,43.4861833333333,-124.844083333333
94,01-Oct-2024 00:03:15,43.485995,-124.844416666667,01-Oct-2024 02:30:18,43.4752666666667,-124.869066666667
95,01-Oct-2024 02:35:49,43.475285,-124.869368333333,01-Oct-2024 05:07:54,43.4656,-124.89235
96,01-Oct-2024 05:15:52,43.4656,-124.89331,01-Oct-2024 08:18:01,43.4475166666667,-124.9093
97,01-Oct-2024 08:24:13,43.4481283333333,-124.910303333333,01-Oct-2024 11:17:02,43.4282,-124.935166666667
98,01-Oct-2024 11:22:11,43.42876,-124.935726666667,01-Oct-2024 14:20:19,43.4108666666667,-124.960916666667
99,01-Oct-2024 14:25:40,43.4112066666667,-124.961068333333,01-Oct-2024 18:05:41,43.3940666666667,-124.99155
100,01-Oct-2024 18:11:42,43.3938233333333,-124.991845,01-Oct-2024 22:00:41,43.3668,-125.013783333333
101,01-Oct-2024 22:06:26,43.366235,-125.014761666667,02-Oct-2024 02:02:41,43.3313833333333,-125.027566666667
102,02-Oct-2024 02:09:39,43.33138,-125.026953333333,02-Oct-2024 07:11:39,43.3186166666667,-125.077966666667
103,02-Oct-2024 07:20:37,43.3178466666667,-125.078515,02-Oct-2024 12:11:05,43.285,-125.11555
104,02-Oct-2024 12:17:49,43.28405,-125.116406666667,02-Oct-2024 17:14:12,43.2594833333333,-125.163833333333
105,02-Oct-2024 17:21:01,43.2584883333333,-125.165315,02-Oct-2024 22:46:31,43.2297166666667,-125.2158
106,02-Oct-2024 22:53:04,43.2286133333333,-125.21696,03-Oct-2024 04:19:53,43.18215,-125.269766666667
107,03-Oct-2024 04:26:15,43.18033,-125.270263333333,03-Oct-2024 09:51:00,43.1588833333333,-125.32945
