"","file_das","line_num","Cruise","Event","DateTime_UTC","Lat","Lon","Mode","OnEffort","EffortDot","EffType","SpdKt","Bft","SegID"
"2","DASALL2024 (8).das",2,1652,"R",2024-07-24 22:48:31,32.709,-117.4485,"P",TRUE,TRUE,"S",NA,NA,1
"3","DASALL2024 (8).das",3,1652,"P",2024-07-24 22:48:31,32.7098333333333,-117.450333333333,"P",TRUE,TRUE,"S",NA,NA,1
"6","DASALL2024 (8).das",6,1652,"V",2024-07-24 22:48:31,32.7118333333333,-117.454166666667,"P",TRUE,TRUE,"S",NA,4,1
"7","DASALL2024 (8).das",7,1652,"W",2024-07-24 22:48:31,32.7118333333333,-117.454166666667,"P",TRUE,TRUE,"S",NA,4,1
"8","DASALL2024 (8).das",8,1652,"N",2024-07-24 22:48:31,32.7133333333333,-117.457333333333,"P",TRUE,TRUE,"S",8.9,4,1
"9","DASALL2024 (8).das",9,1652,"*",2024-07-24 22:52:56,32.7136666666667,-117.457833333333,"P",TRUE,TRUE,"S",8.9,4,1
"10","DASALL2024 (8).das",10,1652,"E",2024-07-24 22:54:25,32.716,-117.462333333333,"P",TRUE,TRUE,"S",8.9,4,1
"13","DASALL2024 (8).das",13,1652,"R",2024-07-24 22:55:26,32.7173333333333,-117.464833333333,"C",TRUE,TRUE,"S",NA,NA,2
"14","DASALL2024 (8).das",14,1652,"P",2024-07-24 22:55:26,32.7175,-117.465166666667,"C",TRUE,TRUE,"S",NA,NA,2
"15","DASALL2024 (8).das",15,1652,"V",2024-07-24 22:55:26,32.7188333333333,-117.467833333333,"C",TRUE,TRUE,"S",NA,5,2
"16","DASALL2024 (8).das",16,1652,"W",2024-07-24 22:55:26,32.7188333333333,-117.467833333333,"C",TRUE,TRUE,"S",NA,5,2
"17","DASALL2024 (8).das",17,1652,"N",2024-07-24 22:55:26,32.719,-117.468,"C",TRUE,TRUE,"S",8.9,5,2
"18","DASALL2024 (8).das",18,1652,"*",2024-07-24 22:57:38,32.72,-117.469833333333,"C",TRUE,TRUE,"S",8.9,5,2
"19","DASALL2024 (8).das",19,1652,"*",2024-07-24 22:59:38,32.7226666666667,-117.475,"C",TRUE,TRUE,"S",8.9,5,2
"20","DASALL2024 (8).das",20,1652,"*",2024-07-24 23:01:38,32.7255,-117.480166666667,"C",TRUE,TRUE,"S",8.9,5,2
"21","DASALL2024 (8).das",21,1652,"P",2024-07-24 23:01:27,32.726,-117.481,"C",TRUE,TRUE,"S",8.9,5,2
"22","DASALL2024 (8).das",22,1652,"V",2024-07-24 23:01:27,32.726,-117.481166666667,"C",TRUE,TRUE,"S",8.9,5,2
"23","DASALL2024 (8).das",23,1652,"W",2024-07-24 23:01:27,32.726,-117.481166666667,"C",TRUE,TRUE,"S",8.9,5,2
"24","DASALL2024 (8).das",24,1652,"N",2024-07-24 23:01:27,32.726,-117.481333333333,"C",TRUE,TRUE,"S",9.1,5,2
"25","DASALL2024 (8).das",25,1652,"*",2024-07-24 23:03:38,32.7281666666667,-117.485333333333,"C",TRUE,TRUE,"S",9.1,5,2
"26","DASALL2024 (8).das",26,1652,"*",2024-07-24 23:05:38,32.7308333333333,-117.4905,"C",TRUE,TRUE,"S",9.1,5,2
"27","DASALL2024 (8).das",27,1652,"*",2024-07-24 23:07:38,32.734,-117.495166666667,"C",TRUE,TRUE,"S",9.1,5,2
"28","DASALL2024 (8).das",28,1652,"S",2024-07-24 23:07:09,32.7355,-117.497666666667,"C",TRUE,TRUE,"S",9.1,5,2
"29","DASALL2024 (8).das",29,1652,"A",2024-07-24 23:07:09,32.7355,-117.497666666667,"C",TRUE,TRUE,"S",9.1,5,2
"30","DASALL2024 (8).das",30,1652,"1",2024-07-24 23:07:09,32.7355,-117.497666666667,"C",TRUE,FALSE,"S",9.1,5,2
"31","DASALL2024 (8).das",31,1652,"2",2024-07-24 23:07:09,32.7355,-117.497666666667,"C",TRUE,FALSE,"S",9.1,5,2
"32","DASALL2024 (8).das",32,1652,"3",2024-07-24 23:07:09,32.7355,-117.497666666667,"C",TRUE,FALSE,"S",9.1,5,2
"33","DASALL2024 (8).das",33,1652,"*",2024-07-24 23:09:38,32.737,-117.500166666667,"C",TRUE,TRUE,"S",9.1,5,2
"34","DASALL2024 (8).das",34,1652,"E",2024-07-24 23:10:27,32.7395,-117.503833333333,"C",TRUE,TRUE,"S",9.1,5,2
"38","DASALL2024 (8).das",38,1652,"R",2024-07-24 23:48:52,32.7771666666667,-117.565833333333,"C",TRUE,TRUE,"S",NA,NA,3
"39","DASALL2024 (8).das",39,1652,"P",2024-07-24 23:48:52,32.7775,-117.566666666667,"C",TRUE,TRUE,"S",NA,NA,3
"40","DASALL2024 (8).das",40,1652,"*",2024-07-24 23:52:50,32.7798333333333,-117.571,"C",TRUE,TRUE,"S",NA,NA,3
"41","DASALL2024 (8).das",41,1652,"*",2024-07-24 23:54:50,32.7825,-117.576,"C",TRUE,TRUE,"S",NA,NA,3
"42","DASALL2024 (8).das",42,1652,"V",2024-07-24 23:48:52,32.7826666666667,-117.576333333333,"C",TRUE,TRUE,"S",NA,5,3
"43","DASALL2024 (8).das",43,1652,"W",2024-07-24 23:48:52,32.7826666666667,-117.576333333333,"C",TRUE,TRUE,"S",NA,5,3
"44","DASALL2024 (8).das",44,1652,"N",2024-07-24 23:48:52,32.7828333333333,-117.5765,"C",TRUE,TRUE,"S",9.4,5,3
"45","DASALL2024 (8).das",45,1652,"*",2024-07-24 23:56:50,32.7851666666667,-117.581333333333,"C",TRUE,TRUE,"S",9.4,5,3
"47","DASALL2024 (8).das",47,1652,"N",2024-07-24 23:54:55,32.7856666666667,-117.582333333333,"C",TRUE,TRUE,"S",9.2,5,3
"48","DASALL2024 (8).das",48,1652,"*",2024-07-24 23:58:50,32.7876666666667,-117.5865,"C",TRUE,TRUE,"S",9.2,5,3
"49","DASALL2024 (8).das",49,1652,"*",2024-07-25 00:00:50,32.7903333333333,-117.591666666667,"C",TRUE,TRUE,"S",9.2,5,3
"50","DASALL2024 (8).das",50,1652,"*",2024-07-25 00:02:50,32.7928333333333,-117.597,"C",TRUE,TRUE,"S",9.2,5,3
"51","DASALL2024 (8).das",51,1652,"*",2024-07-25 00:04:50,32.7953333333333,-117.602166666667,"C",TRUE,TRUE,"S",9.2,5,3
"52","DASALL2024 (8).das",52,1652,"*",2024-07-25 00:06:50,32.7978333333333,-117.6075,"C",TRUE,TRUE,"S",9.2,5,3
"53","DASALL2024 (8).das",53,1652,"P",2024-07-25 00:07:03,32.7988333333333,-117.609166666667,"C",TRUE,TRUE,"S",9.2,5,3
"54","DASALL2024 (8).das",54,1652,"*",2024-07-25 00:08:50,32.8005,-117.612666666667,"C",TRUE,TRUE,"S",9.2,5,3
"55","DASALL2024 (8).das",55,1652,"*",2024-07-25 00:10:50,32.803,-117.618,"C",TRUE,TRUE,"S",9.2,5,3
"56","DASALL2024 (8).das",56,1652,"*",2024-07-25 00:12:50,32.8055,-117.623333333333,"C",TRUE,TRUE,"S",9.2,5,3
"57","DASALL2024 (8).das",57,1652,"*",2024-07-25 00:14:50,32.808,-117.628666666667,"C",TRUE,TRUE,"S",9.2,5,3
"58","DASALL2024 (8).das",58,1652,"V",2024-07-25 00:07:03,32.8085,-117.629833333333,"C",TRUE,TRUE,"S",9.2,5,3
"59","DASALL2024 (8).das",59,1652,"W",2024-07-25 00:07:03,32.8085,-117.629833333333,"C",TRUE,TRUE,"S",9.2,5,3
"60","DASALL2024 (8).das",60,1652,"N",2024-07-25 00:07:03,32.8086666666667,-117.630166666667,"C",TRUE,TRUE,"S",9.2,5,3
"61","DASALL2024 (8).das",61,1652,"*",2024-07-25 00:16:50,32.8103333333333,-117.633833333333,"C",TRUE,TRUE,"S",9.2,5,3
"62","DASALL2024 (8).das",62,1652,"*",2024-07-25 00:18:50,32.8126666666667,-117.639166666667,"C",TRUE,TRUE,"S",9.2,5,3
"63","DASALL2024 (8).das",63,1652,"*",2024-07-25 00:20:50,32.8151666666667,-117.6445,"C",TRUE,TRUE,"S",9.2,5,3
"64","DASALL2024 (8).das",64,1652,"P",2024-07-25 00:20:21,32.8151666666667,-117.6445,"C",TRUE,TRUE,"S",9.2,5,3
"65","DASALL2024 (8).das",65,1652,"V",2024-07-25 00:20:21,32.8163333333333,-117.647166666667,"C",TRUE,TRUE,"S",9.2,5,3
"66","DASALL2024 (8).das",66,1652,"W",2024-07-25 00:20:21,32.8163333333333,-117.647166666667,"C",TRUE,TRUE,"S",9.2,5,3
"67","DASALL2024 (8).das",67,1652,"N",2024-07-25 00:20:21,32.8163333333333,-117.647166666667,"C",TRUE,TRUE,"S",8.9,5,3
"69","DASALL2024 (8).das",69,1652,"*",2024-07-25 00:22:50,32.8175,-117.649833333333,"C",TRUE,TRUE,"S",8.9,5,3
"71","DASALL2024 (8).das",71,1652,"*",2024-07-25 00:24:50,32.82,-117.655166666667,"C",TRUE,TRUE,"S",8.9,5,3
"72","DASALL2024 (8).das",72,1652,"*",2024-07-25 00:26:50,32.8223333333333,-117.6605,"C",TRUE,TRUE,"S",8.9,5,3
"73","DASALL2024 (8).das",73,1652,"*",2024-07-25 00:28:50,32.8248333333333,-117.666,"C",TRUE,TRUE,"S",8.9,5,3
"74","DASALL2024 (8).das",74,1652,"*",2024-07-25 00:30:50,32.8271666666667,-117.671333333333,"C",TRUE,TRUE,"S",8.9,5,3
"75","DASALL2024 (8).das",75,1652,"P",2024-07-25 00:32:29,32.8293333333333,-117.676166666667,"C",TRUE,TRUE,"S",8.9,5,3
"76","DASALL2024 (8).das",76,1652,"V",2024-07-25 00:32:29,32.8295,-117.6765,"C",TRUE,TRUE,"S",8.9,5,3
"77","DASALL2024 (8).das",77,1652,"W",2024-07-25 00:32:29,32.8295,-117.6765,"C",TRUE,TRUE,"S",8.9,5,3
"78","DASALL2024 (8).das",78,1652,"N",2024-07-25 00:32:29,32.8295,-117.6765,"C",TRUE,TRUE,"S",9.3,5,3
"79","DASALL2024 (8).das",79,1652,"*",2024-07-25 00:32:50,32.8295,-117.676666666667,"C",TRUE,TRUE,"S",9.3,5,3
"80","DASALL2024 (8).das",80,1652,"*",2024-07-25 00:34:50,32.832,-117.682,"C",TRUE,TRUE,"S",9.3,5,3
"81","DASALL2024 (8).das",81,1652,"*",2024-07-25 00:36:50,32.8346666666667,-117.687,"C",TRUE,TRUE,"S",9.3,5,3
"82","DASALL2024 (8).das",82,1652,"*",2024-07-25 00:38:50,32.8375,-117.692166666667,"C",TRUE,TRUE,"S",9.3,5,3
"83","DASALL2024 (8).das",83,1652,"*",2024-07-25 00:40:50,32.8403333333333,-117.697166666667,"C",TRUE,TRUE,"S",9.3,5,3
"84","DASALL2024 (8).das",84,1652,"*",2024-07-25 00:42:50,32.843,-117.702166666667,"C",TRUE,TRUE,"S",9.3,5,3
"85","DASALL2024 (8).das",85,1652,"*",2024-07-25 00:44:50,32.8458333333333,-117.707166666667,"C",TRUE,TRUE,"S",9.3,5,3
"86","DASALL2024 (8).das",86,1652,"*",2024-07-25 00:46:50,32.8485,-117.712166666667,"C",TRUE,TRUE,"S",9.3,5,3
"87","DASALL2024 (8).das",87,1652,"*",2024-07-25 00:48:50,32.851,-117.717333333333,"C",TRUE,TRUE,"S",9.3,5,3
"88","DASALL2024 (8).das",88,1652,"*",2024-07-25 00:50:50,32.853,-117.723,"C",TRUE,TRUE,"S",9.3,5,3
"89","DASALL2024 (8).das",89,1652,"*",2024-07-25 00:52:50,32.855,-117.728666666667,"C",TRUE,TRUE,"S",9.3,5,3
"90","DASALL2024 (8).das",90,1652,"*",2024-07-25 00:54:50,32.857,-117.734333333333,"C",TRUE,TRUE,"S",9.3,5,3
"91","DASALL2024 (8).das",91,1652,"*",2024-07-25 00:56:50,32.859,-117.74,"C",TRUE,TRUE,"S",9.3,5,3
"92","DASALL2024 (8).das",92,1652,"*",2024-07-25 00:58:50,32.861,-117.745666666667,"C",TRUE,TRUE,"S",9.3,5,3
"93","DASALL2024 (8).das",93,1652,"*",2024-07-25 01:00:50,32.863,-117.751333333333,"C",TRUE,TRUE,"S",9.3,5,3
"94","DASALL2024 (8).das",94,1652,"P",2024-07-25 01:01:05,32.8636666666667,-117.753333333333,"C",TRUE,TRUE,"S",9.3,5,3
"95","DASALL2024 (8).das",95,1652,"*",2024-07-25 01:02:50,32.865,-117.757166666667,"C",TRUE,TRUE,"S",9.3,5,3
"96","DASALL2024 (8).das",96,1652,"V",2024-07-25 01:01:05,32.865,-117.757166666667,"C",TRUE,TRUE,"S",9.3,5,3
"97","DASALL2024 (8).das",97,1652,"W",2024-07-25 01:01:05,32.865,-117.757166666667,"C",TRUE,TRUE,"S",9.3,5,3
"98","DASALL2024 (8).das",98,1652,"N",2024-07-25 01:01:05,32.865,-117.757333333333,"C",TRUE,TRUE,"S",9.4,5,3
"99","DASALL2024 (8).das",99,1652,"*",2024-07-25 01:04:50,32.867,-117.763,"C",TRUE,TRUE,"S",9.4,5,3
"100","DASALL2024 (8).das",100,1652,"*",2024-07-25 01:06:50,32.8688333333333,-117.768666666667,"C",TRUE,TRUE,"S",9.4,5,3
